ID,Fitness
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,-100.0
7,-200.0
8,-200.0
9,-200.0
10,-200.0
11,-200.0
12,-200.0
13,-200.0
14,-200.0
15,-200.0
16,-270.0
17,-272.85714285714283
18,-300.0
19,-300.0
20,-300.0
21,-300.0
22,-300.0
23,-300.0
24,-300.0
25,-300.0
26,-448.57142857142856
27,-504.2857142857143
28,-524.2857142857143
29,-525.5714285714286
30,-583.8571428571429
31,-624.5714285714286
32,-714.2857142857142
33,-715.7142857142858
34,-721.4285714285714
35,-730.7142857142858
36,-783.4285714285714
37,-804.4285714285713
38,-825.8571428571429
39,-829.1428571428571
40,-836.0
41,-842.5714285714286
42,-867.2857142857142
43,-898.5714285714286
44,-905.4285714285713
45,-926.4285714285714
46,-937.0
47,-940.2857142857142
48,-940.7142857142858
49,-948.1428571428571
50,-967.6666666666666
51,-984.4285714285714
52,-991.7142857142858
53,-1000.8571428571429
54,-1005.0
55,-1006.2857142857143
56,-1047.5714285714284
57,-1059.7142857142858
58,-1060.142857142857
59,-1077.4285714285716
60,-1103.857142857143
61,-1107.857142857143
62,-1124.4285714285716
63,-1133.0
64,-1149.5714285714284
65,-1150.0
66,-1150.7142857142858
67,-1188.0
68,-1236.4285714285716
69,-1269.0
70,-1271.7142857142858
71,-1286.0
72,-1324.7142857142858
73,-1326.0
74,-1351.2857142857142
75,-1356.5714285714287
76,-1380.0
77,-1405.857142857143
78,-1540.0
79,-1600.0
80,-1689.2857142857142
81,-1708.7142857142856
82,-1730.0
83,-1877.857142857143
84,-2012.142857142857
85,-2102.7142857142853
86,-2110.714285714286
87,-2138.5714285714284
88,-2140.0
89,-2159.285714285714
90,-2185.0
91,-2205.4285714285716
92,-2216.285714285714
93,-2367.0
94,-2473.714285714286
95,-2512.857142857143
96,-2661.4285714285716
97,-2740.285714285714
98,-2747.5714285714284
99,-2796.4285714285716
