ID,Fitness
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,-100.0
16,-100.0
17,-100.0
18,-100.0
19,-100.0
20,-100.0
21,-100.0
22,-100.0
23,-100.0
24,-100.0
25,-100.0
26,-100.0
27,-100.0
28,-100.0
29,-100.0
30,-100.0
31,-100.0
32,-100.0
33,-100.47619047619048
34,-104.28571428571428
35,-177.14285714285717
36,-200.0
37,-200.0
38,-200.0
39,-200.0
40,-200.0
41,-200.0
42,-200.0
43,-200.0
44,-200.0
45,-200.0
46,-200.0
47,-200.0
48,-200.0
49,-200.0
50,-200.0
51,-200.0
52,-200.0
53,-200.0
54,-200.0
55,-200.0
56,-200.0
57,-200.0
58,-200.0
59,-200.0
60,-200.0
61,-200.0
62,-200.0
63,-200.0
64,-200.0
65,-300.0
66,-300.0
67,-300.0
68,-300.0
69,-300.0
70,-300.0
71,-300.0
72,-300.0
73,-300.0
74,-400.0
75,-400.0
76,-400.0
77,-402.85714285714283
78,-442.85714285714283
79,-465.71428571428567
80,-479.3333333333333
81,-497.1428571428572
82,-500.0
83,-500.0
84,-500.0
85,-500.0
86,-549.5238095238095
87,-554.2857142857142
88,-600.0
89,-615.7142857142857
90,-695.0
91,-815.7142857142858
92,-832.8571428571428
93,-977.1428571428571
94,-1082.2857142857142
95,-1173.857142857143
96,-1359.7142857142858
97,-1405.7142857142858
98,-1440.0
