ID,Fitness
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,-100.0
10,-100.0
11,-100.0
12,-100.0
13,-100.0
14,-100.0
15,-100.0
16,-100.0
17,-100.0
18,-100.0
19,-120.0
20,-200.0
21,-200.0
22,-200.0
23,-200.0
24,-200.0
25,-200.0
26,-200.0
27,-200.0
28,-200.0
29,-200.0
30,-200.0
31,-200.0
32,-200.0
33,-200.0
34,-200.0
35,-200.0
36,-200.0
37,-200.0
38,-200.0
39,-200.0
40,-200.0
41,-200.0
42,-200.0
43,-200.0
44,-200.0
45,-200.0
46,-200.0
47,-200.0
48,-200.0
49,-200.0
50,-210.0
51,-269.99999999999994
52,-275.71428571428567
53,-300.0
54,-300.0
55,-300.0
56,-300.0
57,-300.0
58,-300.0
59,-300.0
60,-300.0
61,-300.0
62,-300.0
63,-300.0
64,-300.0
65,-300.0
66,-300.0
67,-300.0
68,-300.0
69,-300.0
70,-312.85714285714283
71,-342.8571428571429
72,-380.7142857142857
73,-384.2857142857142
74,-387.1428571428571
75,-397.14285714285717
76,-400.0
77,-400.0
78,-400.0
79,-400.0
80,-400.0
81,-400.0
82,-407.1428571428571
83,-424.2857142857143
84,-487.42857142857144
85,-500.0
86,-500.0
87,-678.5714285714286
88,-820.0
89,-955.0000000000001
90,-1021.4285714285714
91,-1107.2857142857142
92,-1120.857142857143
93,-1193.4285714285716
94,-1199.142857142857
95,-1214.0
96,-1423.1428571428569
97,-1611.1428571428573
98,-1866.0
